timestamp,vrms,irms,power,delta_p,wh,event,device_edge
236000,225.22,0.3361,75.69,-2.0,4.2438,none,-
236500,229.9,0.3333,76.62,0.92,4.2545,none,-
237000,230.72,0.3304,76.23,-0.39,4.265,none,-
237500,228.31,0.3273,74.72,-1.51,4.2754,none,-
238000,230.38,0.3172,73.07,-1.65,4.2856,none,-
238500,228.08,0.3321,75.74,2.67,4.2961,none,-
239000,229.65,0.3382,77.66,1.92,4.3069,none,-
239500,230.59,0.3235,74.6,-3.05,4.3172,none,-
240000,230.61,0.3234,74.59,-0.01,4.3276,none,-
240500,227.82,0.3258,74.22,-0.37,4.3379,none,-
241000,225.86,0.3349,75.64,1.41,4.3484,none,-
241500,229.61,0.3231,74.18,-1.46,4.3587,none,-
242000,230.14,0.3332,76.68,2.5,4.3694,none,-
242500,229.3,0.3384,77.6,0.92,4.3801,none,-
243000,225.05,0.3267,73.52,-4.07,4.3903,none,-
243500,226.73,0.3277,74.31,0.78,4.4007,none,-
244000,226.76,0.3394,76.95,2.65,4.4114,none,-
244500,230.16,0.3405,78.37,1.42,4.4222,none,-
245000,227.26,0.3344,75.99,-2.37,4.4328,none,-
245500,226.77,0.3383,76.73,0.73,4.4434,none,-
246000,229.3,0.3402,78.02,1.29,4.4543,none,-
246500,226.06,0.331,74.83,-3.19,4.4647,none,-
247000,230.38,0.3208,73.91,-0.91,4.4749,none,-
247500,225.25,0.3328,74.96,1.05,4.4854,none,-
248000,229.53,0.3419,78.47,3.51,4.4963,none,-
248500,228.18,0.3407,77.74,-0.73,4.5071,none,-
249000,227.01,0.3362,76.33,-1.41,4.5177,none,-
249500,227.92,0.3262,74.35,-1.98,4.528,none,-
250000,227.29,0.9883,224.62,150.27,4.5592,ON,Soldering-Iron
250500,229.17,0.9782,224.18,-0.45,4.5903,none,-
251000,230.85,0.964,222.55,-1.63,4.6212,none,-
251500,229.93,0.9893,227.48,4.93,4.6528,none,-
252000,225.15,1.0101,227.44,-0.04,4.6844,none,-
252500,226.02,0.9957,225.05,-2.39,4.7157,none,-
253000,225.66,0.994,224.32,-0.73,4.7468,none,-
253500,229.31,0.9962,228.44,4.12,4.7785,none,-
254000,225.73,0.9883,223.08,-5.36,4.8095,none,-
254500,225.35,0.9839,221.72,-1.35,4.8403,none,-
255000,227.72,0.9698,220.83,-0.89,4.871,none,-
255500,226.13,1.0049,227.25,6.42,4.9026,none,-
256000,228.73,0.9859,225.49,-1.75,4.9339,none,-
256500,228.51,0.9908,226.41,0.91,4.9653,none,-
257000,228.23,1.0041,229.17,2.77,4.9971,none,-
257500,227.64,0.9874,224.76,-4.41,5.0284,none,-
258000,229.71,0.9927,228.05,3.29,5.06,none,-
258500,226.26,0.9959,225.33,-2.72,5.0913,none,-
259000,229.22,0.9836,225.47,0.15,5.1227,none,-
259500,225.33,1.0068,226.85,1.38,5.1542,none,-
260000,230.21,0.9719,223.75,-3.1,5.1852,none,-
260500,227.98,0.9834,224.19,0.44,5.2164,none,-
261000,230.49,0.9574,220.68,-3.51,5.247,none,-
261500,230.37,0.9896,227.98,7.3,5.2787,none,-
262000,226.66,0.9977,226.15,-1.82,5.3101,none,-
262500,229.54,0.986,226.33,0.18,5.3415,none,-
263000,225.67,1.0045,226.69,0.36,5.373,none,-
263500,228.76,0.9935,227.27,0.58,5.4046,none,-
264000,225.31,0.9984,224.94,-2.33,5.4358,none,-
264500,227.37,0.9948,226.18,1.25,5.4672,none,-
265000,230.37,0.9777,225.24,-0.94,5.4985,none,-
265500,229.96,0.976,224.45,-0.8,5.5297,none,-
266000,229.37,1.0082,231.24,6.79,5.5618,none,-
266500,226.95,0.9837,223.25,-8.0,5.5928,none,-
267000,225.58,1.003,226.26,3.01,5.6242,none,-
267500,229.78,0.9883,227.1,0.84,5.6558,none,-
268000,228.01,0.9696,221.07,-6.03,5.6865,none,-
268500,227.79,0.9944,226.52,5.45,5.7179,none,-
269000,228.55,0.9899,226.24,-0.28,5.7494,none,-
269500,230.66,0.9642,222.41,-3.83,5.7803,none,-
270000,226.64,0.9114,206.55,-15.86,5.8089,OFF,Phone-Charger
270500,230.38,0.9259,213.31,6.76,5.8386,none,-
271000,229.71,0.9178,210.82,-2.5,5.8679,none,-
271500,225.18,0.937,210.99,0.17,5.8972,none,-
272000,228.58,0.9327,213.21,2.22,5.9268,none,-
272500,228.34,0.9232,210.8,-2.41,5.956,none,-
273000,226.89,0.9442,214.23,3.43,5.9858,none,-
273500,229.55,0.9102,208.93,-5.3,6.0148,none,-
274000,226.92,0.9407,213.46,4.53,6.0445,none,-
274500,227.54,0.9254,210.58,-2.88,6.0737,none,-
275000,228.47,0.9342,213.43,2.86,6.1034,none,-
275500,225.54,0.9304,209.85,-3.58,6.1325,none,-
276000,229.48,0.913,209.52,-0.33,6.1616,none,-
276500,227.1,0.9301,211.22,1.69,6.1909,none,-
277000,228.06,0.9312,212.37,1.15,6.2204,none,-
277500,225.36,0.9297,209.52,-2.85,6.2495,none,-
278000,228.55,0.907,207.29,-2.23,6.2783,none,-
278500,226.56,0.9143,207.14,-0.15,6.3071,none,-
279000,228.41,0.9296,212.32,5.18,6.3366,none,-
279500,230.64,0.9266,213.71,1.39,6.3663,none,-
280000,225.38,0.6641,149.67,-64.04,6.3871,OFF,Bulb-60W
280500,228.9,0.6443,147.48,-2.18,6.4075,none,-
281000,229.5,0.6644,152.47,4.99,6.4287,none,-
281500,226.04,0.6768,153.0,0.53,6.45,none,-
282000,225.11,0.6696,150.74,-2.26,6.4709,none,-
282500,228.18,0.6745,153.9,3.16,6.4923,none,-
283000,225.24,0.6761,152.3,-1.61,6.5134,none,-
283500,227.82,0.66,150.35,-1.94,6.5343,none,-
284000,225.5,0.6589,148.59,-1.77,6.5549,none,-
284500,230.27,0.6557,150.99,2.4,6.5759,none,-
285000,227.06,0.6637,150.7,-0.28,6.5969,none,-
285500,229.64,0.6637,152.41,1.71,6.618,none,-
286000,228.21,0.654,149.24,-3.17,6.6387,none,-
286500,225.95,0.662,149.59,0.35,6.6595,none,-
287000,230.12,0.6432,148.01,-1.57,6.6801,none,-
287500,229.93,0.6578,151.24,3.23,6.7011,none,-
288000,228.1,0.6752,154.02,2.78,6.7225,none,-
288500,227.99,0.6568,149.76,-4.26,6.7433,none,-
289000,230.9,0.6538,150.97,1.21,6.7642,none,-
289500,227.07,0.6752,153.31,2.35,6.7855,none,-
290000,227.57,0.6653,151.4,-1.91,6.8066,none,-
290500,225.33,0.6623,149.23,-2.17,6.8273,none,-
291000,230.45,0.6585,151.76,2.53,6.8484,none,-
291500,226.21,0.6633,150.04,-1.73,6.8692,none,-
292000,230.64,0.645,148.75,-1.28,6.8899,none,-
292500,227.39,0.6557,149.1,0.35,6.9106,none,-
293000,226.88,0.6734,152.79,3.68,6.9318,none,-
293500,229.04,0.6698,153.41,0.63,6.9531,none,-
294000,226.92,0.6784,153.94,0.53,6.9745,none,-
294500,229.6,0.6695,153.71,-0.23,6.9958,none,-
295000,228.67,0.6646,151.97,-1.74,7.0169,none,-
295500,229.31,0.6712,153.92,1.94,7.0383,none,-
296000,228.81,0.651,148.95,-4.96,7.059,none,-
296500,227.37,0.6553,149.0,0.04,7.0797,none,-
297000,225.01,0.6655,149.74,0.74,7.1005,none,-
297500,225.57,0.6621,149.35,-0.39,7.1212,none,-
298000,230.02,0.6576,151.25,1.91,7.1422,none,-
298500,226.56,0.6546,148.31,-2.95,7.1628,none,-
299000,226.9,0.6516,147.85,-0.45,7.1834,none,-
299500,230.87,0.6453,148.99,1.13,7.2041,none,-
