timestamp,vrms,irms,power,delta_p,wh,device_id
242500,229.3,0.3384,77.6,0.92,4.3801,Phone-Charger
243000,225.05,0.3267,73.52,-4.07,4.3903,Phone-Charger
243500,226.73,0.3277,74.31,0.78,4.4007,Phone-Charger
244000,226.76,0.3394,76.95,2.65,4.4114,Phone-Charger
244500,230.16,0.3405,78.37,1.42,4.4222,Phone-Charger
245000,227.26,0.3344,75.99,-2.37,4.4328,Phone-Charger
245500,226.77,0.3383,76.73,0.73,4.4434,Phone-Charger
246000,229.3,0.3402,78.02,1.29,4.4543,Phone-Charger
246500,226.06,0.331,74.83,-3.19,4.4647,Phone-Charger
247000,230.38,0.3208,73.91,-0.91,4.4749,Phone-Charger
247500,225.25,0.3328,74.96,1.05,4.4854,Phone-Charger
248000,229.53,0.3419,78.47,3.51,4.4963,Phone-Charger
248500,228.18,0.3407,77.74,-0.73,4.5071,Phone-Charger
249000,227.01,0.3362,76.33,-1.41,4.5177,Phone-Charger
249500,227.92,0.3262,74.35,-1.98,4.528,Phone-Charger
250000,227.29,0.9883,224.62,150.27,4.5592,Phone-Charger
250500,229.17,0.9782,224.18,-0.45,4.5903,Phone-Charger
251000,230.85,0.964,222.55,-1.63,4.6212,Phone-Charger
251500,229.93,0.9893,227.48,4.93,4.6528,Phone-Charger
252000,225.15,1.0101,227.44,-0.04,4.6844,Phone-Charger
252500,226.02,0.9957,225.05,-2.39,4.7157,Phone-Charger
253000,225.66,0.994,224.32,-0.73,4.7468,Phone-Charger
253500,229.31,0.9962,228.44,4.12,4.7785,Phone-Charger
254000,225.73,0.9883,223.08,-5.36,4.8095,Phone-Charger
254500,225.35,0.9839,221.72,-1.35,4.8403,Phone-Charger
255000,227.72,0.9698,220.83,-0.89,4.871,Phone-Charger
255500,226.13,1.0049,227.25,6.42,4.9026,Phone-Charger
256000,228.73,0.9859,225.49,-1.75,4.9339,Phone-Charger
256500,228.51,0.9908,226.41,0.91,4.9653,Phone-Charger
257000,228.23,1.0041,229.17,2.77,4.9971,Phone-Charger
257500,227.64,0.9874,224.76,-4.41,5.0284,Phone-Charger
258000,229.71,0.9927,228.05,3.29,5.06,Phone-Charger
258500,226.26,0.9959,225.33,-2.72,5.0913,Phone-Charger
259000,229.22,0.9836,225.47,0.15,5.1227,Phone-Charger
259500,225.33,1.0068,226.85,1.38,5.1542,Phone-Charger
260000,230.21,0.9719,223.75,-3.1,5.1852,Phone-Charger
260500,227.98,0.9834,224.19,0.44,5.2164,Phone-Charger
261000,230.49,0.9574,220.68,-3.51,5.247,Phone-Charger
261500,230.37,0.9896,227.98,7.3,5.2787,Phone-Charger
262000,226.66,0.9977,226.15,-1.82,5.3101,Phone-Charger
262500,229.54,0.986,226.33,0.18,5.3415,Phone-Charger
263000,225.67,1.0045,226.69,0.36,5.373,Phone-Charger
263500,228.76,0.9935,227.27,0.58,5.4046,Phone-Charger
264000,225.31,0.9984,224.94,-2.33,5.4358,Phone-Charger
264500,227.37,0.9948,226.18,1.25,5.4672,Phone-Charger
265000,230.37,0.9777,225.24,-0.94,5.4985,Phone-Charger
265500,229.96,0.976,224.45,-0.8,5.5297,Phone-Charger
266000,229.37,1.0082,231.24,6.79,5.5618,Phone-Charger
266500,226.95,0.9837,223.25,-8.0,5.5928,Phone-Charger
267000,225.58,1.003,226.26,3.01,5.6242,Phone-Charger
267500,229.78,0.9883,227.1,0.84,5.6558,Phone-Charger
268000,228.01,0.9696,221.07,-6.03,5.6865,Phone-Charger
268500,227.79,0.9944,226.52,5.45,5.7179,Phone-Charger
269000,228.55,0.9899,226.24,-0.28,5.7494,Phone-Charger
269500,230.66,0.9642,222.41,-3.83,5.7803,Phone-Charger
270000,226.64,0.9114,206.55,-15.86,5.8089,Soldering-Iron
270500,230.38,0.9259,213.31,6.76,5.8386,Soldering-Iron
271000,229.71,0.9178,210.82,-2.5,5.8679,Soldering-Iron
271500,225.18,0.937,210.99,0.17,5.8972,Soldering-Iron
272000,228.58,0.9327,213.21,2.22,5.9268,Soldering-Iron
272500,228.34,0.9232,210.8,-2.41,5.956,Soldering-Iron
273000,226.89,0.9442,214.23,3.43,5.9858,Soldering-Iron
273500,229.55,0.9102,208.93,-5.3,6.0148,Soldering-Iron
274000,226.92,0.9407,213.46,4.53,6.0445,Soldering-Iron
274500,227.54,0.9254,210.58,-2.88,6.0737,Soldering-Iron
275000,228.47,0.9342,213.43,2.86,6.1034,Soldering-Iron
275500,225.54,0.9304,209.85,-3.58,6.1325,Soldering-Iron
276000,229.48,0.913,209.52,-0.33,6.1616,Soldering-Iron
276500,227.1,0.9301,211.22,1.69,6.1909,Soldering-Iron
277000,228.06,0.9312,212.37,1.15,6.2204,Soldering-Iron
277500,225.36,0.9297,209.52,-2.85,6.2495,Soldering-Iron
278000,228.55,0.907,207.29,-2.23,6.2783,Soldering-Iron
278500,226.56,0.9143,207.14,-0.15,6.3071,Soldering-Iron
279000,228.41,0.9296,212.32,5.18,6.3366,Soldering-Iron
279500,230.64,0.9266,213.71,1.39,6.3663,Soldering-Iron
280000,225.38,0.6641,149.67,-64.04,6.3871,Soldering-Iron
280500,228.9,0.6443,147.48,-2.18,6.4075,Soldering-Iron
281000,229.5,0.6644,152.47,4.99,6.4287,Soldering-Iron
281500,226.04,0.6768,153.0,0.53,6.45,Soldering-Iron
282000,225.11,0.6696,150.74,-2.26,6.4709,Soldering-Iron
282500,228.18,0.6745,153.9,3.16,6.4923,Soldering-Iron
283000,225.24,0.6761,152.3,-1.61,6.5134,Soldering-Iron
283500,227.82,0.66,150.35,-1.94,6.5343,Soldering-Iron
284000,225.5,0.6589,148.59,-1.77,6.5549,Soldering-Iron
284500,230.27,0.6557,150.99,2.4,6.5759,Soldering-Iron
285000,227.06,0.6637,150.7,-0.28,6.5969,Soldering-Iron
285500,229.64,0.6637,152.41,1.71,6.618,Soldering-Iron
286000,228.21,0.654,149.24,-3.17,6.6387,Soldering-Iron
286500,225.95,0.662,149.59,0.35,6.6595,Soldering-Iron
287000,230.12,0.6432,148.01,-1.57,6.6801,Soldering-Iron
287500,229.93,0.6578,151.24,3.23,6.7011,Soldering-Iron
288000,228.1,0.6752,154.02,2.78,6.7225,Soldering-Iron
288500,227.99,0.6568,149.76,-4.26,6.7433,Soldering-Iron
289000,230.9,0.6538,150.97,1.21,6.7642,Soldering-Iron
289500,227.07,0.6752,153.31,2.35,6.7855,Soldering-Iron
290000,227.57,0.6653,151.4,-1.91,6.8066,Soldering-Iron
290500,225.33,0.6623,149.23,-2.17,6.8273,Soldering-Iron
291000,230.45,0.6585,151.76,2.53,6.8484,Soldering-Iron
291500,226.21,0.6633,150.04,-1.73,6.8692,Soldering-Iron
292000,230.64,0.645,148.75,-1.28,6.8899,Soldering-Iron
292500,227.39,0.6557,149.1,0.35,6.9106,Soldering-Iron
293000,226.88,0.6734,152.79,3.68,6.9318,Soldering-Iron
293500,229.04,0.6698,153.41,0.63,6.9531,Soldering-Iron
294000,226.92,0.6784,153.94,0.53,6.9745,Soldering-Iron
294500,229.6,0.6695,153.71,-0.23,6.9958,Soldering-Iron
295000,228.67,0.6646,151.97,-1.74,7.0169,Soldering-Iron
295500,229.31,0.6712,153.92,1.94,7.0383,Soldering-Iron
296000,228.81,0.651,148.95,-4.96,7.059,Soldering-Iron
296500,227.37,0.6553,149.0,0.04,7.0797,Soldering-Iron
297000,225.01,0.6655,149.74,0.74,7.1005,Soldering-Iron
297500,225.57,0.6621,149.35,-0.39,7.1212,Soldering-Iron
298000,230.02,0.6576,151.25,1.91,7.1422,Soldering-Iron
298500,226.56,0.6546,148.31,-2.95,7.1628,Soldering-Iron
299000,226.9,0.6516,147.85,-0.45,7.1834,Soldering-Iron
299500,230.87,0.6453,148.99,1.13,7.2041,Soldering-Iron
